replicate,arm,site,alpha,n_target,reason,certified,tau,coverage,n_answered,answered_err_rate,hard,numbedscategory,teachingstatus,region,aps_coverage,apv_coverage
2,apache-complete,hosp-244,0.05,1052,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,South,1.0,1.0
2,apache-complete,hosp-244,0.1,1052,bbse:bbse-misspecified,True,0.83,0.9106,958,0.0428,False,100 - 249,f,South,1.0,1.0
2,apache-complete,hosp-249,0.05,335,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,Midwest,1.0,1.0
2,apache-complete,hosp-249,0.1,335,bbse:bbse-misspecified,True,0.83,0.9313,312,0.0417,False,<100,f,Midwest,1.0,1.0
2,apache-complete,hosp-254,0.05,324,baseline:failsafe|bbse:failsafe,False,,,0,,False,,f,Midwest,1.0,1.0
2,apache-complete,hosp-254,0.1,324,bbse:failsafe,True,0.83,0.8056,261,0.0383,False,,f,Midwest,1.0,1.0
2,apache-complete,hosp-264,0.05,4334,baseline:failsafe|bbse:failsafe,False,,,0,,False,>= 500,t,Midwest,1.0,1.0
2,apache-complete,hosp-264,0.1,4334,bbse:failsafe,True,0.83,0.844,3658,0.0418,False,>= 500,t,Midwest,1.0,1.0
2,apache-complete,hosp-279,0.05,656,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,Midwest,1.0,1.0
2,apache-complete,hosp-279,0.1,656,bbse:bbse-misspecified,True,0.83,0.904,593,0.0337,False,100 - 249,f,Midwest,1.0,1.0
2,apache-complete,hosp-280,0.05,899,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,250 - 499,f,Midwest,1.0,1.0
2,apache-complete,hosp-280,0.1,899,bbse:bbse-misspecified,True,0.83,0.9088,817,0.0318,False,250 - 499,f,Midwest,1.0,1.0
2,apache-complete,hosp-303,0.05,130,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,,f,,1.0,1.0
2,apache-complete,hosp-303,0.1,130,bbse:bbse-misspecified,True,0.83,0.7923,103,0.0097,False,,f,,1.0,1.0
2,apache-complete,hosp-336,0.05,833,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,Midwest,1.0,1.0
2,apache-complete,hosp-336,0.1,833,bbse:failsafe,True,0.83,0.8391,699,0.0429,False,100 - 249,f,Midwest,1.0,1.0
2,apache-complete,hosp-351,0.05,2,pool-too-small,False,,,0,,False,,f,,1.0,1.0
2,apache-complete,hosp-351,0.1,2,pool-too-small,False,,,0,,False,,f,,1.0,1.0
2,apache-complete,hosp-352,0.05,32,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,,f,,1.0,1.0
2,apache-complete,hosp-352,0.1,32,bbse:bbse-misspecified,True,0.83,0.75,24,0.0417,False,,f,,1.0,1.0
2,apache-complete,hosp-392,0.05,555,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,250 - 499,f,West,1.0,1.0
2,apache-complete,hosp-392,0.1,555,bbse:bbse-misspecified,True,0.83,0.8721,484,0.0847,False,250 - 499,f,West,1.0,1.0
2,apache-complete,hosp-405,0.05,280,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,West,1.0,1.0
2,apache-complete,hosp-405,0.1,280,bbse:bbse-misspecified,True,0.83,0.9,252,0.0198,False,100 - 249,f,West,1.0,1.0
2,apache-complete,hosp-408,0.05,170,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,West,1.0,1.0
2,apache-complete,hosp-408,0.1,170,bbse:bbse-misspecified,True,0.83,0.9824,167,0.0419,False,<100,f,West,1.0,1.0
2,apache-complete,hosp-413,0.05,1375,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,,f,West,1.0,1.0
2,apache-complete,hosp-413,0.1,1375,bbse:bbse-misspecified,True,0.83,0.9302,1279,0.0266,False,,f,West,1.0,1.0
2,apache-complete,hosp-422,0.05,239,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,Northeast,1.0,1.0
2,apache-complete,hosp-422,0.1,239,bbse:bbse-misspecified,True,0.83,0.887,212,0.033,False,100 - 249,f,Northeast,1.0,1.0
2,apache-complete,hosp-437,0.05,48,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,South,1.0,1.0
2,apache-complete,hosp-437,0.1,48,bbse:bbse-misspecified,True,0.83,0.7708,37,0.0541,False,<100,f,South,1.0,1.0
