n_sites,draw,alpha,certified,tau,coverage,n_answered,answered_err_rate,hard,decline_reason
100,3,0.05,False,,0.0,0,nan,False,insufficient-clusters
100,3,0.1,False,,0.0,0,nan,False,insufficient-clusters
100,4,0.05,False,,0.0,0,nan,False,insufficient-clusters
100,4,0.1,False,,0.0,0,nan,False,insufficient-clusters
100,5,0.05,False,,0.0,0,nan,False,insufficient-clusters
100,5,0.1,False,,0.0,0,nan,False,insufficient-clusters
100,6,0.05,False,,0.0,0,nan,False,insufficient-clusters
100,6,0.1,False,,0.0,0,nan,False,insufficient-clusters
100,7,0.05,False,,0.0,0,nan,False,insufficient-clusters
100,7,0.1,False,,0.0,0,nan,False,insufficient-clusters
100,8,0.05,False,,0.0,0,nan,False,insufficient-clusters
100,8,0.1,False,,0.0,0,nan,False,insufficient-clusters
100,9,0.05,False,,0.0,0,nan,False,insufficient-clusters
100,9,0.1,False,,0.0,0,nan,False,insufficient-clusters
100,10,0.05,False,,0.0,0,nan,False,insufficient-clusters
100,10,0.1,False,,0.0,0,nan,False,insufficient-clusters
100,11,0.05,False,,0.0,0,nan,False,insufficient-clusters
100,11,0.1,False,,0.0,0,nan,False,insufficient-clusters
100,12,0.05,False,,0.0,0,nan,False,insufficient-clusters
100,12,0.1,False,,0.0,0,nan,False,insufficient-clusters
100,13,0.05,False,,0.0,0,nan,False,insufficient-clusters
100,13,0.1,False,,0.0,0,nan,False,insufficient-clusters
100,14,0.05,False,,0.0,0,nan,False,insufficient-clusters
100,14,0.1,False,,0.0,0,nan,False,insufficient-clusters
100,15,0.05,False,,0.0,0,nan,False,insufficient-clusters
100,15,0.1,False,,0.0,0,nan,False,insufficient-clusters
100,16,0.05,False,,0.0,0,nan,False,insufficient-clusters
100,16,0.1,False,,0.0,0,nan,False,insufficient-clusters
100,17,0.05,False,,0.0,0,nan,False,insufficient-clusters
100,17,0.1,False,,0.0,0,nan,False,insufficient-clusters
100,18,0.05,False,,0.0,0,nan,False,insufficient-clusters
100,18,0.1,False,,0.0,0,nan,False,insufficient-clusters
100,19,0.05,False,,0.0,0,nan,False,insufficient-clusters
100,19,0.1,False,,0.0,0,nan,False,insufficient-clusters
100,20,0.05,False,,0.0,0,nan,False,insufficient-clusters
100,20,0.1,False,,0.0,0,nan,False,insufficient-clusters
100,21,0.05,False,,0.0,0,nan,False,insufficient-clusters
100,21,0.1,False,,0.0,0,nan,False,insufficient-clusters
100,22,0.05,False,,0.0,0,nan,False,insufficient-clusters
