draw,alpha,mode,target_base,certified,tau,coverage,n_answered,answered_err_rate,hard,exceed,rm_fresh,rm_exceed,decline_reason,deploy_mode,bbse_reason,bbse_rho_lo,bbse_rho_hi,bbse_gap_lo,bbse_q_target
26,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
26,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.27607234215545484,9.990212835656227,0.4801524383041804,0.1111111111111111
26,0.1,baseline,0.22,True,0.55,0.9753086419753086,79,0.17721518987341772,True,True,0.111689,True,,baseline,,,,,
26,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.27607234215545484,9.990212835656227,0.4801524383041804,0.1111111111111111
27,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
27,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.27688468209416245,1.4140807201398293,0.4875490325019389,0.05429864253393665
27,0.1,baseline,0.22,True,0.55,0.9841628959276018,1305,0.05440613026819923,False,False,0.111862,True,,baseline,,,,,
27,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.27688468209416245,1.4140807201398293,0.4875490325019389,0.05429864253393665
28,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
28,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.5832083532651805,3.0721052533258417,0.49589688416585087,0.09090909090909091
28,0.1,baseline,0.22,True,0.5700000000000001,0.9791666666666666,517,0.0735009671179884,False,False,0.113716,True,,baseline,,,,,
28,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.5832083532651805,3.0721052533258417,0.49589688416585087,0.09090909090909091
29,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
29,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.8805804749338892,9.300724415687881,0.48272056222634613,0.17633928571428573
29,0.1,baseline,0.22,True,0.55,0.9732142857142857,436,0.13761467889908258,True,True,0.11148,True,,baseline,,,,,
29,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.8805804749338892,9.300724415687881,0.48272056222634613,0.17633928571428573
30,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
30,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.969685655400236,8.031703613102602,0.49116700022501975,0.13970588235294118
30,0.1,baseline,0.22,True,0.5900000000000001,0.9705882352941176,264,0.11363636363636363,False,True,0.106886,True,,baseline,,,,,
30,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.969685655400236,8.031703613102602,0.49116700022501975,0.13970588235294118
31,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
31,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""bbse-misspecified""}",,bbse-misspecified,,,0.5264142422528992,0.06930693069306931
31,0.1,baseline,0.22,True,0.55,0.9603960396039604,97,0.15463917525773196,True,True,0.105773,True,,baseline,,,,,
31,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""bbse-misspecified""}",,bbse-misspecified,,,0.5264142422528992,0.06930693069306931
32,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
32,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""bbse-misspecified""}",,bbse-misspecified,,,0.49022432426390944,0.07575757575757576
32,0.1,baseline,0.22,True,0.55,0.9696969696969697,64,0.0625,False,False,0.106103,True,,baseline,,,,,
32,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""bbse-misspecified""}",,bbse-misspecified,,,0.49022432426390944,0.07575757575757576
33,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
33,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.4758467793404155,5.824325155386343,0.485315017861857,0.13748378728923477
33,0.1,baseline,0.22,True,0.55,0.9779507133592736,754,0.09283819628647215,False,False,0.112495,True,,baseline,,,,,
33,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.4758467793404155,5.824325155386343,0.485315017861857,0.13748378728923477
34,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
34,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,2.395854916244631,15.82061546065628,0.4975789662487867,0.20909090909090908
34,0.1,baseline,0.22,True,0.55,0.9515151515151515,314,0.17834394904458598,True,True,0.116696,True,,baseline,,,,,
34,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,2.395854916244631,15.82061546065628,0.4975789662487867,0.20909090909090908
35,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
35,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.6919848223313354,6.017294283666799,0.4801517865249155,0.1404140414041404
35,0.1,baseline,0.22,True,0.55,0.9693969396939695,1077,0.11142061281337047,False,True,0.111744,True,,baseline,,,,,
35,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.6919848223313354,6.017294283666799,0.4801517865249155,0.1404140414041404
36,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
36,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.81802923078901,20.78607618150664,0.4805655704656256,0.1724137931034483
36,0.1,baseline,0.22,True,0.55,0.9885057471264368,86,0.1511627906976744,False,True,0.109869,True,,baseline,,,,,
36,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.81802923078901,20.78607618150664,0.4805655704656256,0.1724137931034483
37,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
37,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""bbse-misspecified""}",,bbse-misspecified,,,0.5465964929187058,0.09803921568627451
37,0.1,baseline,0.22,True,0.55,0.9803921568627451,50,0.1,False,False,0.098762,False,,baseline,,,,,
37,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""bbse-misspecified""}",,bbse-misspecified,,,0.5465964929187058,0.09803921568627451
