replicate,arm,site,alpha,n_target,reason,certified,tau,coverage,n_answered,answered_err_rate,hard,numbedscategory,teachingstatus,region,aps_coverage,apv_coverage
2,primary,hosp-68,0.1,478,bbse:failsafe,True,0.87,0.7887,377,0.0053,False,<100,f,Midwest,0.981172,0.981172
2,primary,hosp-83,0.05,59,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,,f,,0.983051,0.983051
2,primary,hosp-83,0.1,59,bbse:bbse-misspecified,True,0.87,0.8475,50,0.04,False,,f,,0.983051,0.983051
2,primary,hosp-112,0.05,335,baseline:failsafe|bbse:failsafe,False,,,0,,False,250 - 499,f,South,0.98209,0.98209
2,primary,hosp-112,0.1,335,bbse:failsafe,True,0.87,0.8209,275,0.0364,False,250 - 499,f,South,0.98209,0.98209
2,primary,hosp-115,0.05,57,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,South,0.894737,0.894737
2,primary,hosp-115,0.1,57,bbse:bbse-misspecified,True,0.87,0.7719,44,0.0682,False,<100,f,South,0.894737,0.894737
2,primary,hosp-123,0.05,156,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,South,0.916667,0.916667
2,primary,hosp-123,0.1,156,bbse:bbse-misspecified,True,0.87,0.8397,131,0.0611,False,100 - 249,f,South,0.916667,0.916667
2,primary,hosp-181,0.05,854,baseline:failsafe|bbse:failsafe,False,,,0,,False,,f,South,0.989461,0.989461
2,primary,hosp-181,0.1,854,bbse:failsafe,True,0.87,0.7541,644,0.0404,False,,f,South,0.989461,0.989461
2,primary,hosp-195,0.05,1051,baseline:failsafe|bbse:failsafe,False,,,0,,False,250 - 499,t,South,0.994291,0.994291
2,primary,hosp-195,0.1,1051,bbse:failsafe,True,0.87,0.803,844,0.0332,False,250 - 499,t,South,0.994291,0.994291
2,primary,hosp-198,0.05,585,baseline:failsafe|bbse:failsafe,False,,,0,,False,>= 500,t,South,0.991453,0.991453
2,primary,hosp-198,0.1,585,bbse:failsafe,True,0.87,0.7282,426,0.0258,False,>= 500,t,South,0.991453,0.991453
2,primary,hosp-199,0.05,2722,baseline:failsafe|bbse:failsafe,False,,,0,,False,>= 500,t,Northeast,0.803453,0.803453
2,primary,hosp-199,0.1,2722,bbse:failsafe,True,0.87,0.8193,2230,0.0565,False,>= 500,t,Northeast,0.803453,0.803453
2,primary,hosp-220,0.05,686,baseline:failsafe|bbse:failsafe,False,,,0,,False,250 - 499,t,South,1.0,1.0
2,primary,hosp-220,0.1,686,bbse:failsafe,True,0.87,0.7609,522,0.0172,False,250 - 499,t,South,1.0,1.0
2,primary,hosp-273,0.05,132,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,Midwest,1.0,1.0
2,primary,hosp-273,0.1,132,bbse:bbse-misspecified,True,0.87,0.3561,47,0.1277,False,100 - 249,f,Midwest,1.0,1.0
2,primary,hosp-282,0.05,867,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,Midwest,0.926182,0.926182
2,primary,hosp-282,0.1,867,bbse:failsafe,True,0.87,0.8512,738,0.0203,False,100 - 249,f,Midwest,0.926182,0.926182
2,primary,hosp-283,0.05,1838,baseline:failsafe|bbse:failsafe,False,,,0,,False,250 - 499,f,Midwest,0.962459,0.962459
2,primary,hosp-283,0.1,1838,bbse:failsafe,True,0.87,0.7758,1426,0.0295,False,250 - 499,f,Midwest,0.962459,0.962459
2,primary,hosp-323,0.05,11,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,,f,,1.0,1.0
2,primary,hosp-323,0.1,11,bbse:bbse-misspecified,True,0.87,0.6364,7,0.0,False,,f,,1.0,1.0
2,primary,hosp-336,0.05,896,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,Midwest,0.977679,0.977679
2,primary,hosp-336,0.1,896,bbse:failsafe,True,0.87,0.8002,717,0.0391,False,100 - 249,f,Midwest,0.977679,0.977679
2,primary,hosp-338,0.05,3758,baseline:failsafe|bbse:failsafe,False,,,0,,False,>= 500,f,Midwest,0.981639,0.981639
2,primary,hosp-338,0.1,3758,bbse:failsafe,True,0.87,0.7906,2971,0.0316,False,>= 500,f,Midwest,0.981639,0.981639
2,primary,hosp-382,0.05,1117,baseline:failsafe|bbse:failsafe,False,,,0,,False,>= 500,f,,0.999105,0.999105
2,primary,hosp-382,0.1,1117,bbse:failsafe,True,0.87,0.8165,912,0.0241,False,>= 500,f,,0.999105,0.999105
2,primary,hosp-398,0.05,299,baseline:failsafe|bbse:failsafe,False,,,0,,False,<100,f,West,0.986622,0.986622
2,primary,hosp-398,0.1,299,bbse:failsafe,True,0.87,0.6221,186,0.0323,False,<100,f,West,0.986622,0.986622
2,primary,hosp-404,0.05,391,baseline:failsafe|bbse:failsafe,False,,,0,,False,<100,f,West,0.974425,0.974425
2,primary,hosp-404,0.1,391,bbse:failsafe,True,0.87,0.8517,333,0.048,False,<100,f,West,0.974425,0.974425
2,primary,hosp-405,0.05,345,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,West,0.994203,0.994203
2,primary,hosp-405,0.1,345,bbse:failsafe,True,0.87,0.8464,292,0.0205,False,100 - 249,f,West,0.994203,0.994203
2,primary,hosp-411,0.05,2153,baseline:failsafe|bbse:failsafe,False,,,0,,False,,f,West,0.717139,0.717139
2,primary,hosp-411,0.1,2153,bbse:failsafe,True,0.87,0.8546,1840,0.0505,False,,f,West,0.717139,0.717139
2,primary,hosp-413,0.05,2100,baseline:failsafe|bbse:failsafe,False,,,0,,False,,f,West,0.967143,0.967143
2,primary,hosp-413,0.1,2100,bbse:failsafe,True,0.87,0.8581,1802,0.0239,False,,f,West,0.967143,0.967143
2,primary,hosp-421,0.05,546,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,Northeast,0.990842,0.990842
2,primary,hosp-421,0.1,546,bbse:bbse-misspecified,True,0.87,0.8791,480,0.0813,False,<100,f,Northeast,0.990842,0.990842
3,primary,hosp-84,0.05,43,baseline:failsafe|bbse:failsafe,False,,,0,,False,<100,f,Midwest,1.0,1.0
3,primary,hosp-84,0.1,43,bbse:failsafe,True,0.79,0.814,35,0.0,False,<100,f,Midwest,1.0,1.0
3,primary,hosp-86,0.05,15,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,,f,Midwest,0.933333,0.933333
