s_u,draw,n_sites,alpha,certified,tau,coverage,n_answered,answered_err_rate,hard,exceed,rm_fresh,rm_exceed,per_site_exceed_frac,deploy_mode,decline_reason
0.5,41,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,41,208,0.1,True,0.55,0.9896373056994818,191,0.05759162303664921,False,False,0.055903,False,0.045,baseline,
0.5,42,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,42,208,0.1,True,0.55,0.9785276073619632,319,0.05329153605015674,False,False,0.059707,False,0.05,baseline,
0.5,43,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,43,208,0.1,True,0.55,0.9906542056074766,318,0.1509433962264151,True,True,0.054324,False,0.07,baseline,
0.5,44,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,44,208,0.1,True,0.55,0.9838028169014085,1397,0.09663564781675017,False,False,0.05842,False,0.045,baseline,
0.5,45,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,45,208,0.1,True,0.55,0.9925,397,0.06297229219143577,False,False,0.057486,False,0.065,baseline,
0.5,46,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
0.5,46,208,0.1,True,0.5900000000000001,0.975609756097561,40,0.125,False,True,0.054072,False,0.04,baseline,
0.5,47,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,47,208,0.1,True,0.55,1.0,59,0.01694915254237288,False,False,0.058185,False,0.05,baseline,
0.5,48,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,48,208,0.1,True,0.5700000000000001,0.9668367346938775,1137,0.09410729991204925,False,False,0.054835,False,0.03,baseline,
0.5,49,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
0.5,49,208,0.1,True,0.55,1.0,95,0.042105263157894736,False,False,0.056059,False,0.055,baseline,
0.5,50,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,50,208,0.1,True,0.55,0.9948453608247423,386,0.07512953367875648,False,False,0.059365,False,0.08,baseline,
0.5,51,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
0.5,51,208,0.1,True,0.55,0.975,39,0.02564102564102564,False,False,0.058988,False,0.075,baseline,
0.5,52,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,52,208,0.1,True,0.5700000000000001,0.9767441860465116,126,0.03968253968253968,False,False,0.056261,False,0.065,baseline,
0.5,53,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,53,208,0.1,True,0.55,0.9880810488676997,829,0.05307599517490953,False,False,0.059035,False,0.075,baseline,
0.5,54,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,54,208,0.1,True,0.55,0.978494623655914,455,0.12307692307692308,False,True,0.056742,False,0.065,baseline,
0.5,55,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,55,208,0.1,True,0.5700000000000001,0.9762419006479481,452,0.0420353982300885,False,False,0.058501,False,0.06,baseline,
0.5,56,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,56,208,0.1,True,0.55,0.9873188405797102,1090,0.043119266055045874,False,False,0.059251,False,0.09,baseline,
0.5,57,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
0.5,57,208,0.1,True,0.55,0.9761904761904762,82,0.07317073170731707,False,False,0.058905,False,0.06,baseline,
0.5,58,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,58,208,0.1,True,0.55,0.9716981132075472,103,0.04854368932038835,False,False,0.059156,False,0.085,baseline,
0.5,59,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,59,208,0.1,True,0.55,0.9815950920245399,160,0.0125,False,False,0.057688,False,0.055,baseline,
0.5,60,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,60,208,0.1,True,0.55,0.9766593727206418,1339,0.10679611650485436,False,True,0.057528,False,0.035,baseline,
0.5,61,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,61,208,0.1,True,0.55,0.9787234042553191,92,0.08695652173913043,False,False,0.055477,False,0.035,baseline,
0.5,62,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,62,208,0.1,True,0.55,0.977027027027027,723,0.09681881051175657,False,False,0.059544,False,0.08,baseline,
0.5,63,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,63,208,0.1,True,0.55,0.9790996784565916,609,0.0722495894909688,False,False,0.059806,False,0.075,baseline,
0.5,64,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,64,208,0.1,True,0.55,0.9871134020618557,383,0.028720626631853787,False,False,0.05956,False,0.075,baseline,
0.5,65,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,65,208,0.1,True,0.55,0.98828125,253,0.06719367588932806,False,False,0.054982,False,0.035,baseline,
0.5,66,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,66,208,0.1,True,0.55,0.9736842105263158,518,0.08108108108108109,False,False,0.059044,False,0.075,baseline,
