draw,alpha,certified,tau,coverage,n_answered,answered_err_rate,hard,exceed,rm_fresh,rm_exceed,deploy_mode,decline_reason
82,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
82,0.1,True,0.55,0.9971014492753624,344,0.125,False,True,0.167601,True,baseline,
83,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
83,0.1,True,0.61,0.9757975797579758,887,0.08229988726042842,False,False,0.167449,True,bbse,
84,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
84,0.1,True,0.55,0.9896296296296296,668,0.11377245508982035,False,True,0.169941,True,baseline,
85,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
85,0.1,True,0.55,0.9921259842519685,126,0.07142857142857142,False,False,0.164017,True,baseline,
86,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
86,0.1,True,0.55,0.9916434540389972,356,0.09831460674157304,False,False,0.161621,True,baseline,
87,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
87,0.1,True,0.55,0.9880794701986755,746,0.2037533512064343,True,True,0.162578,True,baseline,
88,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
88,0.1,True,0.55,0.984271022383545,1627,0.14996926859250154,True,True,0.167991,True,baseline,
89,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
89,0.1,True,0.5900000000000001,0.976231884057971,3368,0.11045130641330166,True,True,0.165655,True,baseline,
90,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
90,0.1,True,0.5900000000000001,0.9696969696969697,32,0.15625,False,True,0.165253,True,baseline,
91,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
91,0.1,True,0.55,0.9933333333333333,149,0.20134228187919462,True,True,0.168941,True,baseline,
92,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
92,0.1,True,0.55,0.9866666666666667,74,0.2702702702702703,True,True,0.169704,True,baseline,
93,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
93,0.1,True,0.55,0.9904761904761905,416,0.1778846153846154,True,True,0.171609,True,baseline,
94,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
94,0.1,True,0.5700000000000001,0.9618320610687023,126,0.10317460317460317,False,True,0.155623,True,baseline,
95,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
95,0.1,True,0.5700000000000001,0.9842105263157894,187,0.0855614973262032,False,False,0.161181,True,baseline,
96,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
96,0.1,True,0.55,0.9853427895981087,2084,0.1785028790786948,True,True,0.159157,True,baseline,
97,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
97,0.1,True,0.55,0.988,247,0.11740890688259109,False,True,0.164342,True,baseline,
98,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
98,0.1,True,0.55,1.0,134,0.22388059701492538,True,True,0.160021,True,baseline,
99,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
99,0.1,True,0.55,0.990234375,507,0.27416173570019725,True,True,0.167392,True,baseline,
100,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
100,0.1,True,0.55,0.975609756097561,80,0.1,False,False,0.166372,True,baseline,
101,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
101,0.1,True,0.5900000000000001,0.9573266394728585,3051,0.2504097017371354,True,True,0.154928,True,baseline,
102,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
102,0.1,True,0.55,0.9933774834437086,150,0.2,True,True,0.160545,True,baseline,
103,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
103,0.1,True,0.5700000000000001,0.9685863874345549,185,0.21621621621621623,True,True,0.163966,True,baseline,
104,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
104,0.1,True,0.55,0.9893048128342246,185,0.08648648648648649,False,False,0.174113,True,baseline,
105,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
105,0.1,True,0.5900000000000001,0.9585987261146497,1204,0.16611295681063123,True,True,0.16112,True,baseline,
106,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
106,0.1,True,0.55,0.9865930599369085,1251,0.1334932054356515,True,True,0.163212,True,baseline,
107,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
107,0.1,True,0.55,0.9874055415617129,392,0.12755102040816327,True,True,0.165148,True,baseline,
108,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
108,0.1,True,0.55,0.9904988123515439,417,0.09832134292565947,False,False,0.164396,True,baseline,
109,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
109,0.1,True,0.55,0.98125,157,0.27388535031847133,True,True,0.157604,True,baseline,
110,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
110,0.1,True,0.55,0.9848484848484849,325,0.19384615384615383,True,True,0.164899,True,baseline,
111,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
111,0.1,True,0.55,0.9710982658959537,168,0.2261904761904762,True,True,0.165574,True,baseline,
112,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
112,0.1,True,0.55,0.994,497,0.10865191146881288,False,True,0.165354,True,baseline,
113,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
113,0.1,True,0.55,1.0,133,0.09022556390977443,False,False,0.16737,True,baseline,
114,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
114,0.1,True,0.5900000000000001,0.9701173959445037,909,0.19141914191419143,True,True,0.159892,True,baseline,
115,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
115,0.1,True,0.55,0.9791452991452991,2864,0.210195530726257,True,True,0.166212,True,baseline,
116,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
116,0.1,True,0.55,1.0,39,0.10256410256410256,False,True,0.161375,True,baseline,
117,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
117,0.1,True,0.55,0.984251968503937,375,0.13866666666666666,True,True,0.160807,True,baseline,
118,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
118,0.1,True,0.55,0.9830508474576272,638,0.1786833855799373,True,True,0.169057,True,baseline,
119,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
119,0.1,True,0.55,0.9757281553398058,402,0.2064676616915423,True,True,0.168146,True,baseline,
120,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
120,0.1,True,0.55,0.9930555555555556,143,0.17482517482517482,True,True,0.167768,True,baseline,
121,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
121,0.1,True,0.55,0.9886363636363636,348,0.1810344827586207,True,True,0.175155,True,baseline,
122,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
122,0.1,True,0.55,0.9925093632958801,265,0.11320754716981132,False,True,0.160734,True,baseline,
123,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
123,0.1,True,0.5700000000000001,0.9791044776119403,328,0.18292682926829268,True,True,0.163862,True,baseline,
124,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
124,0.1,True,0.55,0.9873949579831933,470,0.07234042553191489,False,False,0.1588,True,baseline,
125,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
125,0.1,True,0.5700000000000001,0.9745762711864406,345,0.12173913043478261,False,True,0.162452,True,baseline,
126,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
126,0.1,True,0.55,1.0,38,0.23684210526315788,True,True,0.163274,True,baseline,
127,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
127,0.1,True,0.5700000000000001,0.9662576687116564,315,0.14285714285714285,True,True,0.166471,True,baseline,
128,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
128,0.1,True,0.55,0.9886499402628435,3310,0.17613293051359516,True,True,0.16658,True,baseline,
