s_u,draw,alpha,unit,certified,tau,coverage,rm_fresh,rm_exceed
0.5,59,0.1,site,True,0.57,0.9802,0.055783,False
0.5,59,0.1,record,True,0.55,0.9857,0.057817,False
0.5,60,0.05,site,False,,,,
0.5,60,0.05,record,True,0.73,0.922,0.037669,False
0.5,60,0.1,site,True,0.55,0.9843,0.058164,False
0.5,60,0.1,record,True,0.55,0.9843,0.058164,False
0.5,61,0.05,site,False,,,,
0.5,61,0.05,record,True,0.75,0.9173,0.036704,False
0.5,61,0.1,site,True,0.55,0.9856,0.059761,False
0.5,61,0.1,record,True,0.55,0.9856,0.059761,False
0.5,62,0.05,site,False,,,,
0.5,62,0.05,record,True,0.69,0.9439,0.041551,False
0.5,62,0.1,site,True,0.55,0.9864,0.056754,False
0.5,62,0.1,record,True,0.55,0.9864,0.056754,False
0.5,63,0.05,site,False,,,,
0.5,63,0.05,record,True,0.81,0.8877,0.027852,False
0.5,63,0.1,site,True,0.55,0.9853,0.054972,False
0.5,63,0.1,record,True,0.55,0.9853,0.054972,False
0.5,64,0.05,site,False,,,,
0.5,64,0.05,record,True,0.69,0.9385,0.042747,False
0.5,64,0.1,site,True,0.55,0.9851,0.058606,False
0.5,64,0.1,record,True,0.55,0.9851,0.058606,False
0.5,65,0.05,site,False,,,,
0.5,65,0.05,record,True,0.63,0.9604,0.050737,True
0.5,65,0.1,site,True,0.55,0.9851,0.059548,False
0.5,65,0.1,record,True,0.55,0.9851,0.059548,False
0.5,66,0.05,site,False,,,,
0.5,66,0.05,record,True,0.69,0.9346,0.039757,False
0.5,66,0.1,site,True,0.55,0.9843,0.055915,False
0.5,66,0.1,record,True,0.55,0.9843,0.055915,False
0.5,67,0.05,site,False,,,,
0.5,67,0.05,record,True,0.77,0.9051,0.030984,False
0.5,67,0.1,site,True,0.55,0.9847,0.05407,False
0.5,67,0.1,record,True,0.55,0.9847,0.05407,False
0.5,68,0.05,site,False,,,,
0.5,68,0.05,record,True,0.69,0.9412,0.042647,False
0.5,68,0.1,site,True,0.55,0.9861,0.056667,False
0.5,68,0.1,record,True,0.55,0.9861,0.056667,False
0.5,69,0.05,site,False,,,,
0.5,69,0.05,record,True,0.73,0.9239,0.036006,False
0.5,69,0.1,site,True,0.55,0.9854,0.056552,False
0.5,69,0.1,record,True,0.55,0.9854,0.056552,False
0.5,70,0.05,site,False,,,,
0.5,70,0.05,record,True,0.69,0.9428,0.041933,False
0.5,70,0.1,site,True,0.55,0.986,0.056672,False
0.5,70,0.1,record,True,0.55,0.986,0.056672,False
0.5,71,0.05,site,False,,,,
0.5,71,0.05,record,True,0.71,0.925,0.038069,False
0.5,71,0.1,site,True,0.55,0.9841,0.057053,False
0.5,71,0.1,record,True,0.55,0.9841,0.057053,False
0.5,72,0.05,site,False,,,,
0.5,72,0.05,record,True,0.85,0.8515,0.02468,False
0.5,72,0.1,site,True,0.55,0.9845,0.060235,False
0.5,72,0.1,record,True,0.55,0.9845,0.060235,False
0.5,73,0.05,site,False,,,,
0.5,73,0.05,record,True,0.75,0.9105,0.03642,False
0.5,73,0.1,site,True,0.57,0.9778,0.057115,False
0.5,73,0.1,record,True,0.55,0.9844,0.059629,False
0.5,74,0.05,site,False,,,,
0.5,74,0.05,record,True,0.67,0.95,0.043168,False
0.5,74,0.1,site,True,0.55,0.9859,0.057267,False
0.5,74,0.1,record,True,0.55,0.9859,0.057267,False
0.5,75,0.05,site,False,,,,
0.5,75,0.05,record,True,0.75,0.9104,0.033797,False
0.5,75,0.1,site,True,0.55,0.9839,0.056211,False
0.5,75,0.1,record,True,0.55,0.9839,0.056211,False
0.5,76,0.05,site,False,,,,
0.5,76,0.05,record,True,0.65,0.9536,0.044262,False
0.5,76,0.1,site,True,0.55,0.9851,0.056638,False
0.5,76,0.1,record,True,0.55,0.9851,0.056638,False
0.5,77,0.05,site,False,,,,
0.5,77,0.05,record,True,0.71,0.9327,0.041771,False
0.5,77,0.1,site,True,0.55,0.9852,0.060757,False
0.5,77,0.1,record,True,0.55,0.9852,0.060757,False
0.5,78,0.05,site,False,,,,
0.5,78,0.05,record,True,0.71,0.9337,0.038146,False
0.5,78,0.1,site,True,0.55,0.9855,0.055302,False
0.5,78,0.1,record,True,0.55,0.9855,0.055302,False
0.5,79,0.05,site,False,,,,
0.5,79,0.05,record,True,0.75,0.9166,0.037104,False
0.5,79,0.1,site,True,0.55,0.9846,0.059445,False
0.5,79,0.1,record,True,0.55,0.9846,0.059445,False
0.5,80,0.05,site,False,,,,
0.5,80,0.05,record,True,0.77,0.9064,0.034238,False
0.5,80,0.1,site,True,0.55,0.9854,0.057154,False
0.5,80,0.1,record,True,0.55,0.9854,0.057154,False
0.5,81,0.05,site,False,,,,
0.5,81,0.05,record,True,0.71,0.9331,0.040117,False
0.5,81,0.1,site,True,0.55,0.9851,0.057218,False
0.5,81,0.1,record,True,0.55,0.9851,0.057218,False
0.5,82,0.05,site,False,,,,
0.5,82,0.05,record,True,0.69,0.9436,0.044851,False
0.5,82,0.1,site,True,0.55,0.9863,0.059898,False
0.5,82,0.1,record,True,0.55,0.9863,0.059898,False
0.5,83,0.05,site,False,,,,
0.5,83,0.05,record,True,0.77,0.913,0.034875,False
0.5,83,0.1,site,True,0.59,0.9753,0.053454,False
0.5,83,0.1,record,True,0.55,0.9865,0.057981,False
0.5,84,0.05,site,False,,,,
0.5,84,0.05,record,True,0.77,0.9046,0.033153,False
0.5,84,0.1,site,True,0.55,0.9853,0.058259,False
0.5,84,0.1,record,True,0.55,0.9853,0.058259,False
0.5,85,0.05,site,False,,,,
0.5,85,0.05,record,True,0.69,0.9339,0.040929,False
0.5,85,0.1,site,True,0.55,0.9838,0.058096,False
0.5,85,0.1,record,True,0.55,0.9838,0.058096,False
0.5,86,0.05,site,False,,,,
0.5,86,0.05,record,True,0.75,0.9136,0.034296,False
0.5,86,0.1,site,True,0.55,0.9851,0.056991,False
0.5,86,0.1,record,True,0.55,0.9851,0.056991,False
0.5,87,0.05,site,False,,,,
0.5,87,0.05,record,True,0.75,0.9053,0.033531,False
0.5,87,0.1,site,True,0.55,0.9834,0.057563,False
0.5,87,0.1,record,True,0.55,0.9834,0.057563,False
0.5,88,0.05,site,False,,,,
0.5,88,0.05,record,True,0.75,0.9114,0.034907,False
0.5,88,0.1,site,True,0.55,0.9839,0.05754,False
0.5,88,0.1,record,True,0.55,0.9839,0.05754,False
0.5,89,0.05,site,False,,,,
